id,title,family,hypothesis,baseline,primary_metric,compute_budget,status,next_action
E0001,data-contract-audit,gpu-systems,"Cross-tool metadata and geometry checks will find silent failures before fitting.","villa loaders plus fixture checks",issues_found_and_false_negative_rate,"1 GPU-hour / 4 CPU-hours",planned,"Add adapters and synthetic malformed fixtures"
E0002,cross-tool-benchmark,geometry,"A common manifest and held-out protocol will expose meaningful differences between existing tools.","tool-specific reports",held_out_fit_quality_and_reproducibility,"2 GPU-hours / 12 CPU-hours",planned,"Define manifest and run one external baseline"
E0003,winding-evidence-baseline,geometry,"Simple local pitch and tangent-consistency cues can generate useful high-confidence candidate constraints.","existing winding-sync / manual constraints",precision_at_fixed_coverage,"2 GPU-hours / 8 CPU-hours",active,"CPU baseline graph solver is implemented; add public-data adapter"
E0004,robust-winding-sync,graph-optimization,"Confidence-aware synchronization and input filtering can improve robustness over raw graph propagation.","winding-sync L1 synchronization",held_out_winding_error_and_coverage,"4 GPU-hours / 16 CPU-hours",planned,"Compare calibration and rejection policies"
E0005,viterbi-as-proposal,topology,"Viterbi can improve candidate geometry when used as a proposal/confidence signal rather than a binary output.","probability-mask baseline",held_out_surface_quality_and_runtime,"8 GPU-hours",planned,"Port minimal old implementation behind adapter"
E0006,instance-aware-mws,connectomics,"Preserving MWS instance structure avoids the old binary round-trip failure.","binary mask postprocessing",instance_quality_plus_surface_quality,"8 GPU-hours",planned,"Create affinity fixture and end-interface benchmark"
E0007,gpu-tiled-io,gpu-systems,"Streaming tiles and pinned transfers will reduce peak memory without changing output.","eager volume loading",throughput_peak_memory_and_hash_equality,"12 GPU-hours",planned,"Benchmark OME-Zarr access patterns"
E0008,self-supervised-geometry,representation-learning,"Masked 3D pretraining improves cross-scroll geometry features with fewer labels.","supervised baseline",held_out_cross_scroll_metric,"24 GPU-hours",exploration,"Design small pretraining probe"
E0009,implicit-surface-probe,implicit-geometry,"A lightweight implicit surface can reduce local holes while retaining a usable mesh interface.","voxel probability surface",surface_distance_self_intersection_rate,"16 GPU-hours",exploration,"Synthetic planted-hole benchmark first"
E0010,fit-window-preflight,reliability,"Pixel-aware window checks will catch surface evidence omitted by stale cached bounds before fitting.","cached-bbox-only filtering",false_negative_patch_count_and_manual_debug_time,"4 CPU-hours",validated_smoke,"Expand to more public patches and compare with fitter ROI logs"
